Started Kafka consumer, listening on topic: candles.close
Received candle close event: FHEUSDT 1m at 1770949019999
Received candle close event: MYXUSDT 1m at 1770949019999
Received candle close event: TOSHIUSDT 1m at 1770949019999
Received candle close event: ZAMAUSDT 1m at 1770949019999
Received candle close event: ADAUSDT 1m at 1770949019999
Received candle close event: FARTCOINUSDT 1m at 1770949019999
Received candle close event: TRXUSDT 1m at 1770949019999
Received candle close event: XPLUSDT 1m at 1770949019999
Received candle close event: FILUSDT 1m at 1770949019999
Received candle close event: STGUSDT 1m at 1770949019999
Received candle close event: WLFIUSDT 1m at 1770949019999
Received candle close event: ARBUSDT 1m at 1770949019999
Received candle close event: ENAUSDT 1m at 1770949019999
